timestamp,event_type,token_id,reset_time_utc8
2026-03-01 04:32:45,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-01 12:32:45
2026-03-01 04:32:55,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-01 12:32:55
2026-03-01 09:48:25,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-01 17:48:25
2026-03-01 09:48:32,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-01 17:48:32
2026-03-01 14:45:41,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-01 22:45:41
2026-03-01 14:45:49,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-01 22:45:49
2026-03-01 21:41:50,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-02 05:41:50
2026-03-01 21:41:58,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-02 05:41:58
2026-03-02 04:24:39,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-02 12:24:39
2026-03-02 04:24:50,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-02 12:24:50
2026-03-02 10:09:25,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-02 18:09:25
2026-03-02 10:09:34,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-02 18:09:34
2026-03-02 15:04:58,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-02 23:04:58
2026-03-02 15:05:07,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-02 23:05:07
2026-03-02 21:54:01,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-03 05:54:01
2026-03-02 21:54:08,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-03 05:54:08
2026-03-03 04:24:27,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-03 12:24:27
2026-03-03 04:24:36,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-03 12:24:36
2026-03-03 10:03:49,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-03 18:03:49
2026-03-03 10:03:58,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-03 18:03:58
2026-03-03 15:09:31,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-03 23:09:31
2026-03-03 15:09:41,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-03 23:09:41
2026-03-03 21:52:19,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-04 05:52:19
2026-03-03 21:52:31,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-04 05:52:31
2026-03-04 04:18:27,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-04 12:18:27
2026-03-04 04:18:35,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-04 12:18:35
2026-03-04 10:00:54,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-04 18:00:54
2026-03-04 10:01:03,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-04 18:01:03
2026-03-04 15:01:22,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-04 23:01:22
2026-03-04 15:01:31,SESSION-RESET-TRIGGER,TOKEN_2,2026-03-04 23:01:31
